0950B41C	California Agriculture
03186565	Cardiac Cath Lab Director
07DF1352	International Journal of Speleology
02073A68	Physics-Uspekhi
02DD3103	Structural and Multidisciplinary Optimization
048D7511	Epilepsy Currents
05C334E2	Union Seminary Quarterly Review
0A0DA672	American Bankruptcy Institute Law Review
3A0EED61	Current Opinion in Colloid and Interface Science
00F7CC17	Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering
036D3E93	Archives of Virology
07D9982D	Annals of Human Genetics
0A79F823	Serket
0BDBF9D1	Cytogenetic and Genome Research
0B87C3C0	Journal of Early Childhood Research
02580841	Jerusalem Studies in Arabic and Islam
076A2EF8	Currents in Biblical Research
00F5EA32	Mathematical Notes
3C776F01	Africa-Asia Confidential
0325685C	Silicon
03AADB13	Acta Biotheoretica
03E2E32D	Indian Journal of Nephrology
38198E15	Acta Zoologica: Morphology and Evolution
02351BD8	Journal on Chain and Network Science
08EB22C2	Foundations and Trends in Microeconomics
07B3E184	Journal of Green Building
01620D16	Elektronika
021AE2F0	Journal of Geophysics and Engineering
0B02B020	Art Journal
0B1D7A25	McGill Journal of Medicine
0193F5F6	Nepalese Journal of Ophthalmology
01D80353	Alternatives: Global, Local, Political
025703C9	Melbourne Journal of International Law
04B7EE4A	Journal of Applied Crystallography
0ACA88D3	Leeds Studies in English
000C70C5	Renewable Energy
001C2412	Der Zoologische Garten
0027091B	Mokslas - Lietuvos Ateitis
002ABD8F	Arquivos Brasileiros De Oftalmologia
003E4B5C	Social Work in Health Care
0051D7BD	Frontiers of Materials Science in China
0054ECE7	ACM Sigaccess Accessibility and Computing
005DE4AA	Disease Management
007BA968	Archives Des Maladies Du Coeur Et Des Vaisseaux - Pratique
007CCC25	Ocean & Coastal Management
007EF06D	Allergy, Asthma and Immunology Research
00972699	Qualitative Research Journal
0097AF4F	International Journal of Services Operations and Informatics
009A9712	Revista Brasileira De Medicina Do Esporte
00A75DC4	Journal of Reproductive Medicine
00C8514E	Journal of Range Management
00CA6954	Jahrbuch Der Berliner Museen
00DF71AC	BMC Geriatrics
00EA509B	Review of Political Economy
00FDB142	Salud Mental
0115C7F9	International Journal of Multiphase Flow
0128FC3C	Symploke
0133CE14	Journal of Computer Chemistry, Japan
01554FA5	Journal of Sports Medicine and Physical Fitness
0162F48D	Journal of Computational Analysis and Applications
016A2DE8	Philosophy & Technology
0171209C	IEEE Pervasive Computing
018AEB93	Teacher Development
019C35B6	Boletim Do Instituto De Pesca
01A85AF4	Agricultural and Forest Entomology
01B29CFB	Sleep Medicine Reviews
01B68650	Nci Nature Pathway Interaction Database
01B7D4B9	Journal of Wine Research
01BC01FB	Psn-psychiatrie Sciences Humaines Neurosciences
01C3C2E8	Archives of Metallurgy
01D28095	Journal of Eastern African Studies
01DD9D00	Comptes Nationaux Trimestriels
01E029CC	Journal of Aesthetics & Culture
01F6C1D2	Qualitative Research in Financial Markets
0204335A	Arizona Quarterly: A Journal of American Literature, Culture, and Theory
0206F794	Philosophy Compass
02082847	Houston Journal of Mathematics
02152B4B	Venture Capital: An International Journal of Entrepreneurial Finance
0234BE88	Environmental Technology
024A4228	Justice Research and Policy
0256DF84	Obrana A Strategie (defence and Strategy)
026597AE	Language and Education
027B9D73	Naspa Journal About Women in Higher Education
02854C89	ACM Sigapl Apl Quote Quad
0286E751	Fieldiana Zoology
028B19DB	Duke Journal of Constitutional Law & Public Policy
029893C0	Clinical and Applied Immunology Reviews
02AE5B40	Acta Agronomica Hungarica
02C82D07	ACM Sigplan Lisp Pointers
02D29422	Journal of International Biotechnology Law
02E67C1A	Optical Switching and Networking
02E77FF2	Stadion
02F23D1E	Technical Services Quarterly
02FA8EBB	ACM Sigada Ada Letters
03005798	History in Africa
0304D8C3	Asia-pacific Social Science Review
0308340A	Cutter It Journal-the Journal of Information Technology Management
03087263	Building Research and Information
0309A276	Physics and Chemistry of The Earth
0331407D	Teachers and Teaching
03544970	The Open Horticulture Journal
035C3144	Research and Theory for Nursing Practice
0362B2D8	Architectural Review
036BD768	Sculpture Journal
0375E901	Sotsiologicheskie Issledovaniya
0377654F	International Journal for Radiation Physics and Chemistry
03871524	Fett-lipid
038B86C4	Health Care Management Science
039354E6	Biology of Blood and Marrow Transplantation
03AE7749	Aci Materials Journal
03B10F6D	Gorteria
03B804B3	Soil Biology & Biochemistry
03CF07AC	IEEE Transactions on Broadcast and Television Receivers
03DD5507	Intervirology
03EFA813	Labour History Review
03F918A5	Perspectives on Neurophysiology and Neurogenic Speech and Language Disorders
041C0616	Corporate Environmental Strategy
042967A4	Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology
042E5CBE	ACM Sigcue Outlook
043AD8A6	Medical Science Research
043FDC1C	Spirituality and Health International
04433282	Canadian Journal of Surgery
044BBE26	International Journal of Rural Management
044C6EB4	Militargeschichtliche Zeitschrift
045D7873	Cereal Foods World
0466FAF3	Revista Panamericana De Salud Publica-pan American Journal of Public Health
0468318A	Western North American Naturalist
046C6AD6	The Rhodes Cook Letter
047206A1	South American Journal of Herpetology
0472FD93	Evidence-based Obstetrics & Gynecology
047F0854	International Journal of Technological Learning, Innovation and Development
0486252A	Software - Concepts and Tools \/ Structured Programming
0486BA18	Algebras and Representation Theory
048E5AFF	Annales De Genetique
049CC0B7	Portugaliae Electrochimica Acta
04A6EEC5	Criminal Justice Ethics
04C4765B	Journal of Small Animal Practice
04C817B8	Cvd Prevention and Control
04DD7C02	Journal of Mathematical Chemistry
04E85AC0	Materials Science and Technology
04EC5089	BMC Neuroscience
04ECC52C	Current Reviews in Musculoskeletal Medicine
04ECD763	Journal of Orthoptera Research
05199647	Boston University Law Review
05204F3B	Oregon Historical Quarterly
05222453	Douleurs : Evaluation - Diagnostic - Traitement
052437F1	International Journal of Clinical Implant Dentistry With Dvd
05252FE6	Journal of System Safety
0534F6C5	Biological Cybernetics
053A30B5	Team Spiegel
053DC225	Environment and Planning A
054ED8ED	Emu
055CBDCD	Journal of Superconductivity and Novel Magnetism
056D7B72	West Indian Medical Journal
05801415	Operative Dentistry
05858B93	Photodiagnosis and Photodynamic Therapy
0588D9AF	Australian and New Zealand Journal of Organizational Psychology
058967A6	Atlas of The Hand Clinics
05897C63	Ajp: Renal Physiology
058CDFB4	Eearth
058E2ED2	Sri Lanka Journal of Child Health
059238F0	Teleoperators and Virtual Environments
059EE7E3	Ire Transactions on Electron Devices
05A0F7D9	Korean Journal of Parasitology
05A76B73	Current Medicinal Chemistry - Central Nervous System Agents
05ACCDA5	Machine Translation
05AD29F2	Conformal Geometry and Dynamics of The American Mathematical Society
05B08588	Journal of Comparative Family Studies
05C8DF90	Pollution Engineering
05CEBA6D	Frontiers in Systems Neuroscience
05D2A6FE	Marine Structures
05D6D059	Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing
05F6D5BF	Psicologia: Teoria E Pesquisa
060A4B3D	Mutagenesis
0621FA36	Educational Review
0632549E	Transfusion Clinique Et Biologique
064DED7D	Medicina Del Lavoro
06559728	Canadian Journal of Science, Mathematics and Technology Education
06560108	Current Opinion in Microbiology
066C8781	Hydrobiologia
06871B60	Epilepsy & Behavior
068BC1E9	Environmental Law Review
06A342D7	Journal of Ultrasound in Medicine
06A3EBC0	International Journal of Adaptive, Resilient and Autonomic Systems
06A5BCD1	Nursing Clinics of North America
06AA5D32	P-adic Numbers, Ultrametric Analysis, and Applications
06B346F0	Osaka Journal of Mathematics
06CF9A07	Journal of Electronic Commerce Research
06D7BC14	American Ethnologist
06DD66F4	IEEE Transactions on Circuits and Systems for Video Technology
06DEF650	Ire Transactions on Nuclear Science
06E1862A	in Vivo
06E9B207	Oops Messenger
06EE96C5	Journal of Physiological Anthropology
06F749B7	Ibrahim Medical College Journal
070BF2CA	Advances in Small Animal Medicine and Surgery
0716AC1A	Dialogues D'histoire Ancienne
071D25DB	Viszeralmedizin
072F7B59	Ljetopis Socijalnog Rada
07373440	Sport Management Review
073BA8E5	Russian Journal of Mathematical Physics
074B534A	Harvard Environmental Law Review
074C8E14	Zeitschrift Fur Saugetierkunde-international Journal of Mammalian Biology
074CD070	Thermophysics and Aeromechanics
0754C242	Sociological Research
0766AE51	International Journal of Mass Customisation
0771EDF8	Nordic Pulp & Paper Research Journal
07748E90	Cancer Genetics and Cytogenetics
078061BC	Il Nuovo Cimento D
078E60E4	Family Medicine
07924A25	The Keio Journal of Medicine
07983B45	Our Nature
079A8873	Nuclear Tracks
07A96C88	BMC Microbiology
07B3BAFE	Cryptography and Communications
07B5577A	Molecular Genetics and Genomics
07BD40C9	European Journal of Agronomy
07D5856B	Structural Concrete
07E4B36E	Sequencing
07E64CCF	Advances in Education in Diverse Communities: Research, Policy and Praxis
07F724C5	Research Letters in Ecology
07FC336B	Middle East Fertility Society Journal
07FF62D9	IEEE Transactions on Fuzzy Systems
07FFB751	International Journal of Pediatric Otorhinolaryngology Extra
07FFF9E6	Water
080C88B7	Prospects: An Annual of American Cultural Studies
0816B63D	Journal of Leadership Studies
0816D3E0	Global Networks-a Journal of Transnational Affairs
081EB9A4	Papers of The American Society of Church History
082AB60E	Slavery & Abolition
083027CA	Child Psychiatry & Human Development
08322F9A	Knowledge Engineering Review
0847F470	Journal of The British Institute of Mental Handicap (apex)
0848F42A	Physica Medica
086FC82A	Acta Orthopaedica Belgica
0879521D	Crystallography Reviews
08945013	International Dental Journal
089B69EA	Japanese Sociological Review
08AAD7AF	Journal of Educational and Psychological Consultation
08BB4359	Journal of Reproduction and Contraception
08CB0CDE	Asia-pacific Biotech News
08E20859	Nouvelles de l'estampe
08E633E9	Current Drug Targets - Inflammation & Allergy
08F6A621	E-polymers
08FC4EAB	Pesquisa Agropecuaria Brasileira
0902333F	Research Journal of Applied Sciences
0911F3BD	Serbian Studies: Journal of The North American Society for Serbian Studies
09151EF5	Advances in Acoustics and Vibration
09321B30	Tidsskrift for Samfunnsforskning
09462FB4	Attachment & Human Development
0950A849	Journal of The Taiwan Institute of Chemical Engineers
09511F64	Journal of Phenomenological Psychology
09678513	Organizational Behavior and Human Performance
0968A0E6	Medium Aevum
0972190A	European Journal of Dental Education
0975F696	Forest Research Papers
0983D1A6	Entomologica Scandinavica
0986568E	Language Typology and Universals
09914EBC	Evidence-based Mental Health
0997A93F	Journal of Engineering Mechanics-asce
09BECFCF	European Surgical Research
09DE3D54	International Journal of Human-computer Interaction
09EB63CB	Tropical Medicine and Health
0A037598	Journal of Women and Minorities in Science and Engineering
0A0561D1	Software Engineering Journal
0A08DBBD	Srx Biology
0A1DF5A1	Chinese Journal of Physics
0A250914	Geotechnique
0A28B22A	The Open Aging Journal
0A31BAD9	China Agricultural Economic Review
0A326A49	Filosofija-sociologija
0A33DD5E	Care Management Journals
0A37D757	Criminal Justice Matters
0A3DC313	Frequenz
0A541249	Acta Neuropsychiatrica
0A55BD91	Congenital Heart Disease
0A579433	ACM Siggroup Bulletin
0A6F810F	Equilibrium Research
0A79BF50	Research in Phenomenology
0A7BA0EB	Anthropology & Education Quarterly
0AAF4F40	Limnological Review
0ABBE372	Annals of General Hospital Psychiatry
0ABC154E	Subjectivity
0ABC3181	Journal of Financial Crime
0ABF9E4E	Aperture
0AFF0281	International Journal of Adult Vocational Education and Technology
0B00A68A	Bariatric Nursing and Surgical Patient Care
0B0C0848	Diabetes Nutrition & Metabolism
0B144EA5	International Review of Research in Mental Retardation
0B1D8384	Journal of Service Science and Management
0B218CEB	Thyroid Research
0B2721BA	Astronomy Letters
0B3745C4	IEEE Women in Engineering Magazine
0B3A1F99	Scottish Geographical Journal
0B48DD95	Integrative Medicine
0B54EC1F	Logistics Information Management
0B55E919	Japanese Journal of Pharmacology
0B671A86	Advances in Optics and Photonics
0B70B3A3	Fusion Engineering and Design
0B75A6B2	Topics in Macroeconomics
0B77B882	Gcb Bioenergy
0B7A1659	Quaternaire
0B7D629B	Digestive Endoscopy
0B83A491	Agrekon
0B87C57F	Chemsuschem
0B8DF72A	Bulletin of the Irish Biogeographical Society
0BA96925	Lebensmittelchemie
0BB45134	Annual Review of Physiology
0BC9C5CC	The Open Sleep Journal
0BD9E0DB	Evolutionary Biology-new York
0BDCF7B6	Current Nanoscience
0BDD85B1	Journal of Zhejiang University Science C
0BE024A7	Ad Veritatem
0BE0C94A	ACM Sigmis Database
0C1A7F7E	Opera
0C1EEB5A	Polymer-plastics Technology and Engineering
0C3412DD	Current Diabetes Reviews
0C589BE4	Operative Techniques in General Surgery
0C660368	Estonian Journal of Ecology
3812C9D5	Voprosy Istorii
381DBAB0	Bulletin Du Centre De Recherches Elf Exploration Production
389A1E33	Germanic Notes and Reviews
38E161D4	Journal of Social and Religious Sciences
38E92CB4	The Brown University Child & Adolescent Psychopharmacology Update
38F8488B	Zywnosc-nauka Technologia Jakosc
3A30E09C	Filozofia
3A351261	Salmagundi-a Quarterly of The Humanities and Social Sciences
3A889663	Synthesis Lectures on Data Management
3A8A9464	Ptb-mitteilungen
3B1916A9	International Journal of Advanced Networking and Applications
3B2FCBBF	Ekonomicky Casopis
3B5FDD81	Pamatky Archeologicke
3BD71ED7	Tehnicki Vjesnik-technical Gazette
3C625B69	A N A E-approche Neuropsychologique Des Apprentissages Chez L Enfant
3D41F6A1	IET Manufacturing
3D79FAE6	Zeitschrift Fur Geschichtswissenschaft
06A018D9	Journal of the American Chemical Society
3BAEC4D8	Official Journal of the European Union
0BCC5082	PLOS Medicine
0051B0BB	Journal of Finance
01FC784F	Management Science
0B846FA6	Journal of Financial and Quantitative Analysis
02D07519	Antimicrobial Agents and Chemotherapy
0094BFCE	Themelios
09FBB5C2	Family Process
0378B159	Mayo Clinic Proceedings
076E821A	Journal of Empirical Legal Studies
0418118C	Proceedings of the IEEE
06EBF52E	Functional Materials
08C05549	Journal of the American Oriental Society
0167CCE8	Journal of Food Science
0C50B550	Economic Inquiry
00800B10	Cancer Epidemiology, Biomarkers & Prevention
3AD1DB5D	Current Issues in Criminal Justice
012340B0	The Musical Quarterly
00BDA028	Aliso
0A999C86	Journal of Multilingual and Multicultural Development
06DE8D66	Primary Health Care
006C8550	Structure
0820D2F0	Journal of Psychopharmacology
03D82157	Communisme
06F8CE4D	Arkivoc
09BFC4A9	Biblica
042BA9AB	Philosophy
0757DF67	International Journal of General Medicine
0B27F958	Hispania
03318B0A	Mariner's Mirror
0A971BE4	Journal of Symbolic Logic
056B4E10	Law Quarterly Review
01DBF395	Molecular Biotechnology
070D5971	The American Journal of Chinese Medicine
01A08C1A	Heterocycles
03940D8D	Artibus Asiae
024708D0	Nursing Children and Young People
0928D50A	Clinical Nursing Research
09BF55F8	Marketing Science
0B3DE3E5	Carbon
05AB858F	Zeitschrift für Naturforschung A
058F6D0F	Annual Review of Cell and Developmental Biology
3E1D2440	Asiatic: IIUM Journal of English Language and Literature
05C072AB	Classical Philology
09D9F7D3	Journal of Stem Cells & Regenerative Medicine
38594628	The Journal of Korean Studies
05BB4375	Melbourne University Law Review
0B2DD90F	Göttinger Miszellen
01924237	Journal of Postcolonial Writing
036FEF52	Annals of Operations Research
026F7E00	Molecular Neurodegeneration
098EA6ED	The Journal of Ethics
0349E9C6	Educational Researcher
06451D94	Camera Obscura
08F7586B	Journal of Theoretical and Philosophical Psychology
0A79DFF1	Economic Development Quarterly
015A0135	Australian Journal of Education
0233DEB6	Tradition
043881C5	The British Journal for the History of Science
0A9C3A88	Hofstra Law Review
0C416B62	Education and Urban Society
074BC618	Journal of Common Market Studies
064C8213	African Arts
06470B4F	International Journal of Chronic Obstructive Pulmonary Disease
06A4D78C	International Journal of Motorcycle Studies
09740224	Journal of Islamic Studies
05E14C93	Journal of Religious History
001C54EC	Theory and Research in Education
078B2D5C	Journal of Psychoeducational Assessment
09DE6426	Journal of Mammalogy
03847718	Physica Scripta
07BD6C49	Harvard Papers in Botany
01FE5FFC	American Journal of Applied Sciences
08ACF8A4	International Journal of General Systems
09A4414E	Annual Review of Chemical and Biomolecular Engineering
00ECE999	Russian Journal of Physical Chemistry A
07D10E6A	Indian Journal of Medical Microbiology
04444ADD	Bulletin of the American Mathematical Society
0142363D	16 de Abril
02C4282C	Journal of Research in Reading
05FB1E3A	Journal of Parenteral and Enteral Nutrition
07F1FB91	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology
007B5D3F	NYU Annual Survey of American Law
02FB08BA	International Journal of Computer Processing of Languages
06B87609	Journal of Special Education and Rehabilitation
070E324F	Maine Law Review
081A3E9C	Journal of Atmospheric and Oceanic Technology
098EB11A	Computer Law & Security Review
0C45B8A8	The John Marshall Journal of Computer and Information Law
3A7A331C	Questions of History
3DEEDDD2	Bologna Center Journal of International Affairs
0711358C	African Journal of Biotechnology
01397355	Bijdragen tot de Taal-, Land- en Volkenkunde
004B9AB0	Clinical Genetics
09FA6A4B	Journal of Media Psychology
0B6B4514	Natural Resources Forum
0C197794	Quaternary Research
388E205B	The Church Quarterly Review
02DF2BB1	The Journal of Molecular Diagnostics
0368F4AC	Canadian Mathematical Bulletin
0457F6F5	IEEE MultiMedia
0591C9FF	Humana.Mente
3D87D4C2	Silva Gabreta
0583E9E5	Chemotherapy
07E4FA4A	Recherches husserliennes
080B2626	Zoologische Mededelingen
0A78FB75	Commentarii Mathematici Helvetici
383A4D75	PRAXIS: The Fletcher Journal of Human Security
3DB11E55	The Post Office Electrical Engineers' Journal
3BB6E0AB	Clare Market Review
398C8C64	Spurk
07F1745E	Journal of Mechanics in Medicine and Biology
0745DEB1	African Finance Journal
04741F75	Australian Journal of Primary Health
02FEE3FE	Journal of Studies in International Education
03F16E38	Indian Journal of Radiology and Imaging
0B376BEA	Anales de Física
05D0C41A	Annals of Pediatric Cardiology
06FE0D34	Ageing Research Reviews
0BF2DDCA	Molecular Imaging and Biology
0C5BE158	Questions: Philosophy for Young People
393193BF	New Perspectives on Political Economy
0012754A	Handbook of Magnetic Materials
0016C7CB	Scandinavian Cardiovascular Journal
00180478	Mechanics Based Design of Structures and Machines
001D69D6	Journal of Psychophysiology
0035716D	Ash Image Bank
00422B36	Circuit World
004BAFB3	Journal Des Maladies Vasculaires
004DDCD2	Irish Geography
00609D6A	Documenta Ophthalmologica
00672BF5	Mechanisms of Ageing and Development
0072941C	International Journal of Applied Metaheuristic Computing
0075BA7B	Complementary Therapies in Medicine
007E8DDD	Progress of Theoretical Physics Supplement
00A1FA84	Journal of Real Estate Literature
00A953D3	The International Journal of Ocean and Climate Systems
00AF29E1	Decision Support Systems
00B31B2C	International Family Planning Perspectives
00C13CEB	Circuits and Systems
00D618A9	Folia Zoologica
00DB5BDD	Advances in Organometallic Chemistry
00DD6701	Journal of Phytopathology
00E55BC3	IEEE Transactions on Space Electronics and Telemetry
00EF32A2	Children's Health Care
00FC39CA	The Antiquaries Journal
010168ED	Proceedings of The Ice - Urban Design and Planning
0101787C	Mindayawan Journal of Culture and Society
0105F66F	Policy and Politics
010999C1	Gynecological Surgery
010B1D52	Baha'l Studies Review
0119058F	Australian Planner
0119D08D	Latin American Business Review
011EFE90	Perspectives on Communication Disorders and Sciences in Culturally and Linguistically Diverse Populations
01201E35	Tulsa Studies in Womens Literature
0120C4DF	Biological Reviews of The Cambridge Philosophical Society
012328FD	Tissue Engineering Part A
012997F9	Applied Ocean Research
012DCCCE	Frontiers in Computational Neuroscience
01398498	Journal of Education for Students Placed at Risk (jespar)
013D5B93	Journal of Environmental Policy & Planning
0158AC36	Sante Publique
0159B517	Electroencephalography and Clinical Neurophysiology
016D4B66	Current Opinion in Biotechnology
016F1F97	International Journal of Combinatorics
0178EA63	Journal of Inflammation
01868807	Cultural Studies
01A7B8AA	Operations Research Letters
01A9D939	Acta Veterinaria Hungarica
01BCC14D	ACM Sigmultimedia Records
01C3045A	European Security
01E9B0CE	Glass Physics and Chemistry
01F029BE	Materials Science and Engineering
0205643E	Tijdschrift Voor Nederlandse Taal-en Letterkunde
020911BB	Multidiscipline Modeling in Materials and Structures
020AE7EE	Journal of Biorheology
021EA7FD	Current Opinion in Chemical Biology
02488A2D	Science and Engineering of Composite Materials
0271059D	Journal of Managed Care Pharmacy
02765506	Veterinaria Mexico
027A8466	Journal of Pharmaceutical Finance, Economics & Policy
027AC761	Foot & Ankle International
0290E8CE	Nihon Rinsho Geka Gakkai Zasshi (journal of Japan Surgical Association)
0292B975	Environmental and Ecological Statistics
02941EBB	Transactions of The Linnean Society of London: 3rd Series
0295ECE2	Climate and Development
02961837	International Journal of Business Environment
029FE446	Astrophysics and Space Sciences Transactions
02B201A5	Rocky Mountain Geology
02BABE80	Gesture
02BC229E	Eire-ireland
02D65A21	Polymer Science Series B
02D7863E	Mnemosyne
031DB51F	Circulation-cardiovascular Quality and Outcomes
032926AA	Culture Et Musees
03308743	Obstetrics, Gynaecology & Reproductive Medicine
033D84FE	Journal of The Textile Institute Transactions
0345618E	International Journal of Microwave and Millimeter-wave Computer-aided Engineering
035BDA3E	Teaching Anthropology: Society for Anthropology in Community Colleges Notes
035C1D81	Pesticide Outlook
036147DE	Journal of Fisheries of China
03682BF8	Aram Periodical
036EB991	Experimental and Molecular Medicine
0379CED7	International Journal of Powder Metallurgy
0381F6DD	Denki Kako Gakkaishi
0385B364	Journal of The Japanese Coral Reef Society
0397F691	Prostaglandins, Leukotrienes and Medicine
03A88BEF	Education As Change
03B30233	Polymer Reaction Engineering
03C16AEA	Integrative Physiological and Behavioral Science
03C25F74	International Journal of Osteoporosis and Metabolic Disorders
03C64EE4	Hellenic Journal of Surgery
03EB52E6	Soft Computing
03EBAEB3	Reviews on Advanced Materials Science
03EBEA4D	Progress in Nucleic Acid Research and Molecular Biology
03EC7762	Louisiana Law Review
04022FB5	Rinsho Yakuri\/japanese Journal of Clinical Pharmacology and Therapeutics
040C2875	Journal of Chiropractic Medicine
04275993	International Materials Reviews
043409D0	Saarc Journal of Tuberculosis, Lung Diseases and Hiv\/aids
043FD3E2	Ecotoxicology
04467606	Advances in Oceanography and Limnology
044A47E2	European Journal of Forest Research
044F5F8B	Handbook of Industrial Organization
0455A4C9	Journal of Cognition and Culture
0459DD81	Soft Materials
046DBDB5	Chemistry in Britain
046F5979	Metall
04749E58	Marine Georesources & Geotechnology
0474E807	Annals of The Icrp
04761460	Teachers College Record
048D77F2	Eurasip Journal on Embedded Systems
04A2CB9F	Americas
04C26129	Canadian Journal of Information and Library Science-revue Canadienne Des Sciences De L Information Et De Bibliotheconomie
04C6D745	Heat Pipe Science and Technology, An International Journal
04D4001C	Creative Nursing
04D88100	Journal of Chinese Human Resource Management
04DD8306	British Journal of Psychotherapy
04E322CF	Journal of Neuroscience Nursing
04FB82A4	Journal of Global Information Management
04FC6A89	Journal of Hepatology
0514139E	Phytopathology
05176DE1	Ethics & Behavior
051B6331	International Journal of Environmental Science and Technology
052410FD	Journal of Allergy
0526A8C8	Journal of Human Nutrition and Dietetics
0527B6CB	Journal of Logic Programming
0527EF61	The Open Neurosurgery Journal
052C9B8E	Journal of Oral Pathology & Medicine
0530EF2A	International Journal of Psychoanalytic Self Psychology
053C5313	The Journal of Environmental Education
05409378	Itl. Review of Applied Linguistics
05536C0E	Huisarts En Wetenschap
0555FB48	Belgian Journal of Botany
0556B751	Journal of Pidgin and Creole Languages
055DBFB7	Imaginaire & Inconscient
05695919	Journal of Veterinary Epidemiology
056EF0C7	Analytical Sciences
057A8038	Journal of Metastable and Nanocrystalline Materials
057DD3CF	International Journal of Circuit Theory and Applications
058185D5	Zdravniski Vestnik-slovenian Medical Journal
058B78EC	Zeitschrift Für Interaktive Und Kooperative Medien
059C2AB3	International Journal of Design and Nature
05B3EEE1	Childrens Literature in Education
05B40AE8	Micro & Nano Letters
05B558F4	Clinical Neuropathology
05CAD3FC	Eurasian Journal of Biosciences
05D9F875	Periodica Polytechnica Electrical Engineering
05ED889E	Sports Engineering
05EFD2A9	Future Neurology
0609B7D6	Journal of Freshwater Ecology
060D4575	Journal of NeuroVirology
061BFE0C	Acta Histochemica
06253311	Malawi Medical Journal
062A1EAD	The Open Immunology Journal
0635D618	Annals of Software Engineering
0640177D	Computer Integrated Manufacturing Systems
06438FEA	British Journal of Canadian Studies
0646941E	South African Historical Journal
06498819	Research in Human Development
0651233A	World Wide Web Journal
06527E7E	Journal of Visual Art Practice
066AE981	Discrete Mathematics and Applications
066FF4B8	Anthropologischer Anzeiger
0676E07B	International Journal of Business Data Communications and Networking
067E7F90	Nutricion Hospitalaria
068168F1	Bulletin of The European Association for Theoretical Computer Science
068196D0	International Journal of Education Through Art
068E6E15	Revista De La Facultad De Ciencias Agrarias
06A1591A	Indian Journal of Hematology and Blood Transfusion
06A3AAB6	Future Prescriber
06B0F56F	Electronic Communication of The European Association of Software Science and Technology
06B95760	ACM Transactions on Reconfigurable Technology and Systems
06C80225	The Open Atmospheric Science Journal
06D96920	Virus Research
06E5251E	IEEE\/OSA Journal of Display Technology
06F7A32D	Intelligence & National Security
071236F9	Zoological Research
0716D686	Urologe
071C60F5	Dm Disease-a-month
07253223	Adhd Report, The
072D77CA	The International Journal of The First Year in Higher Education
0736AD8E	Biotechnology & Biotechnological Equipment
0743536E	Journal of Global Marketing
076219CA	Czechoslovak Mathematical Journal
077B77BD	Review of Market Integration
078CEA2F	International Journal of Contemporary Iraqi Studies
0790A8D7	IEEE Geoscience and Remote Sensing Letters
07997EF0	Information Professional
079F4A63	Imaging in Medicine
07B35AC7	Advances in Health Sciences Education
